"word1","freq"
"clothes",52
"digital",52
"driver",52
"dude",52
"extremely",52
"flight",52
"forest",52
"fund",52
"host",52
"knowing",52
"larger",52
"omg",52
"presented",52
"remove",52
"revenue",52
"seeking",52
"showing",52
"unique",52
"vs",52
"whos",52
"active",51
"agent",51
"ages",51
"balance",51
"blogs",51
"candidates",51
"compared",51
"conversation",51
"dogs",51
"era",51
"feature",51
"gain",51
"interests",51
"jan",51
"master",51
"meals",51
"mental",51
"mission",51
"nations",51
"notice",51
"offense",51
"quiet",51
"request",51
"sixth",51
"skills",51
"surprise",51
"therefore",51
"accept",50
"animals",50
"apart",50
"attacks",50
"brothers",50
"click",50
"decade",50
"decades",50
"estate",50
"exercise",50
"funds",50
"governor",50
"laugh",50
"literally",50
"magazine",50
"majority",50
"massive",50
"mixed",50
"schedule",50
"sides",50
"sing",50
"solid",50
"steve",50
"storm",50
"television",50
"tells",50
"treat",50
"writers",50
"accused",49
"basketball",49
"border",49
"capital",49
"chairman",49
"concerned",49
"detroit",49
"discussion",49
"drinking",49
"emergency",49
"environment",49
"female",49
"friendly",49
"honest",49
"hop",49
"issued",49
"kinda",49
"milk",49
"ordered",49
"queen",49
"ryan",49
"smaller",49
"spoke",49
"suggested",49
"teaching",49
"tend",49
"uses",49
"animal",48
"app",48
"apply",48
"arms",48
"becoming",48
"broke",48
"butter",48
"claims",48
"concert",48
"conditions",48
"craft",48
"cutting",48
"dollars",48
"dropped",48
"effects",48
"entry",48
"episode",48
"express",48
"famous",48
"foreign",48
"godâ",48
"grade",48
"hundreds",48
"images",48
"injuries",48
"jr",48
"markets",48
"meanwhile",48
"measure",48
"mixture",48
"pack",48
"plot",48
"proposed",48
"provides",48
"purchase",48
"rare",48
"region",48
"strange",48
"tweets",48
"unfortunately",48
"window",48
"acting",47
"afraid",47
"alive",47
"basic",47
"beef",47
"challenges",47
"classes",47
"dreams",47
"fabulous",47
"facility",47
"fantastic",47
"festival",47
"foundation",47
"fruit",47
"fully",47
"happening",47
"horse",47
"inch",47
"investors",47
"jackson",47
"jail",47
"leadership",47
"mass",47
"memories",47
"pair",47
"passing",47
"professor",47
"proposal",47
"recovery",47
"score",47
"shut",47
"soul",47
"stood",47
"strength",47
"struck",47
"suddenly",47
"systems",47
"task",47
"till",47
"tim",47
"turning",47
"alternative",46
"associated",46
"austin",46
"bands",46
"buildings",46
"celebrate",46
"citys",46
"clients",46
"concept",46
"considering",46
"crisis",46
"diet",46
"exchange",46
"fix",46
"funding",46
"generation",46
"gop",46
"grown",46
"hopes",46
"junior",46
"letâ",46
"lewis",46
"lie",46
"musical",46
"nba",46
"noticed",46
"ocean",46
"opportunities",46
"plants",46
"pro",46
"rep",46
"ring",46
"santa",46
"sauce",46
"taught",46
"teach",46
"thin",46
"variety",46
"wed",46
"western",46
"aware",45
"banks",45
"bread",45
"carried",45
"companys",45
"davis",45
"decide",45
"determined",45
"documents",45
"egg",45
"enforcement",45
"explained",45
"fiction",45
"focused",45
"forced",45
"fox",45
"hanging",45
"ingredients",45
"meal",45
"medium",45
"michigan",45
"native",45
"negative",45
"paint",45
"pray",45
"presence",45
"prosecutors",45
"providing",45
"richard",45
"salad",45
"tiny",45
"woods",45
"accepted",44
"advantage",44
"anywhere",44
"appeal",44
"appearance",44
"atlanta",44
"authors",44
"bills",44
"cell",44
"colorado",44
"concern",44
"couldnâ",44
"degrees",44
"environmental",44
"faces",44
"farm",44
"favor",44
"fees",44
"generally",44
"gifts",44
"grace",44
"grateful",44
"heading",44
"honestly",44
"inspiration",44
"institute",44
"island",44
"kevin",44
"legislation",44
"links",44
"mary",44
"mouth",44
"nation",44
"noted",44
"ny",44
"oven",44
"paying",44
"print",44
"produce",44
"setting",44
"ship",44
"stick",44
"studio",44
"visiting",44
"worried",44
"younger",44
"believes",43
"birth",43
"boston",43
"breath",43
"camp",43
"candy",43
"classroom",43
"consumers",43
"cookies",43
"cry",43
"debate",43
"denver",43
"dozen",43
"drivers",43
"drugs",43
"fired",43
"giants",43
"hitting",43
"immigration",43
"innings",43
"juice",43
"material",43
"miller",43
"pages",43
"pool",43
"produced",43
"progress",43
"reader",43
"recall",43
"row",43
"seek",43
"separate",43
"steps",43
"tech",43
"theyve",43
"victims",43
"wanting",43
"wins",43
"adults",42
"alex",42
"allows",42
"analysis",42
"anniversary",42
"awards",42
"bedroom",42
"candidate",42
"communities",42
"competitive",42
"decisions",42
"direct",42
"dishes",42
"duty",42
"elected",42
"entirely",42
"flying",42
"golf",42
"gov",42
"guests",42
"hasnt",42
"hearts",42
"impossible",42
"incident",42
"keeps",42
"located",42
"matt",42
"mobile",42
"ms",42
"northern",42
"occupy",42
"offensive",42
"operations",42
"owners",42
"pie",42
"plain",42
"posting",42
"pushing",42
"regional",42
"sending",42
"shift",42
"sport",42
"supply",42
"vegas",42
"visitors",42
"voted",42
"waste",42
"wilson",42
"academy",41
"ah",41
"allowing",41
"apartment",41
"bear",41
"bottle",41
"cat",41
"championship",41
"comedy",41
"committed",41
"critical",41
"demand",41
"developed",41
"diego",41
"emotional",41
"everywhere",41
"f",41
"follows",41
"hills",41
"ii",41
"individuals",41
"lawyer",41
"leads",41
"matters",41
"mexico",41
"perfectly",41
"policies",41
"pounds",41
"prefer",41
"prize",41
"promise",41
"restaurants",41
"scoring",41
"sentence",41
"shape",41
"smell",41
"somebody",41
"van",41
"village",41
"advance",40
"attend",40
"basically",40
"behavior",40
"blame",40
"bond",40
"canada",40
"comfortable",40
"condition",40
"continues",40
"corporate",40
"correct",40
"crew",40
"delicious",40
"drew",40
"empty",40
"england",40
"falling",40
"giant",40
"gorgeous",40
"happiness",40
"heaven",40
"houses",40
"injury",40
"jeff",40
"jordan",40
"lawmakers",40
"mountain",40
"pace",40
"painting",40
"papers",40
"prayer",40
"profile",40
"reduce",40
"scenes",40
"truck",40
"agents",39
"attitude",39
"bet",39
"birds",39
"blessed",39
"breaks",39
"bright",39
"browns",39
"chair",39
"chapter",39
"chosen",39
"defensive",39
"denied",39
"device",39
"disappointed",39
"eggs",39
"entertainment",39
"favourite",39
"feelings",39
"figures",39
"fingers",39
"independent",39
"investigators",39
"jack",39
"jay",39
"knee",39
"ladies",39
"legislature",39
"loud",39
"metal",39
"net",39
"partner",39
"pepper",39
"pink",39
"plate",39
"pointed",39
"raising",39
"remaining",39
"resident",39
"responsibility",39
"sees",39
"sept",39
"stone",39
"terrible",39
"thankful",39
"theme",39
"tony",39
"tournament",39
"trail",39
"typically",39
"unit",39
"walls",39
"weekly",39
"yo",39
"ale",38
"approved",38
"arm",38
"auto",38
"baking",38
"bars",38
"begins",38
"cardinals",38
"chef",38
"dangerous",38
"deals",38
"doors",38
"drinks",38
"experts",38
"feb",38
"flat",38
"flavor",38
"guitar",38
"hereâ",38
"incredibly",38
"lee",38
"miami",38
"olive",38
"package",38
"panel",38
"politicians",38
"politics",38
"promised",38
"protection",38
"relatively",38
"somewhat",38
"status",38
"stayed",38
"struggling",38
"sucks",38
"theory",38
"tips",38
"unlike",38
"upcoming",38
"upset",38
"v",38
"violent",38
"wave",38
"werent",38
"windows",38
"wondering",38
"yall",38
"achieve",37
"advertising",37
"anybody",37
"ap",37
"believed",37
"button",37
"checked",37
"childrens",37
"completed",37
"contest",37
"discuss",37
"el",37
"equal",37
"forgot",37
"greatest",37
"houston",37
"incredible",37
"jason",37
"justin",37
"lay",37
"lesson",37
"loan",37
"minor",37
"newark",37
"newspaper",37
"paintball",37
"personally",37
"perspective",37
"pleasure",37
"prevent",37
"profit",37
"publishing",37
"quote",37
"regarding",37
"relief",37
"religious",37
"requires",37
"route",37
"saved",37
"saving",37
"shout",37
"soldiers",37
"stuck",37
"suffered",37
"taylor",37
"tools",37
"ultimately",37
"update",37
"values",37
"views",37
"womens",37
"youd",37
"admit",36
"assistant",36
"brian",36
"burning",36
"chances",36
"code",36
"contribute",36
"corn",36
"counts",36
"dan",36
"deserve",36
"directed",36
"districts",36
"easter",36
"ed",36
"employee",36
"fail",36
"fantasy",36
"grab",36
"heights",36
"hunt",36
"increasingly",36
"item",36
"kelly",36
"legs",36
"loans",36
"machine",36
"male",36
"meetings",36
"orlando",36
"pants",36
"parks",36
"passion",36
"perform",36
"phoenix",36
"properly",36
"quit",36
"removed",36
"scared",36
"seats",36
"sleeping",36
"slowly",36
"smoke",36
"spoken",36
"survey",36
